FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2024,1,-99,10,-99,13,43,41,31,14,-99,15,28,27,28,-99,44,-99,45,-99,-99,51,26,-99,-99,-99,26,43,34,-99,-99,26,29,42,-99,44,45,49
1/1/2024,2,-99,9,-99,25,39,41,30,21,-99,27,33,38,28,-99,42,-99,42,-99,-99,50,42,-99,-99,-99,15,43,35,-99,-99,28,37,40,-99,43,42,46
1/1/2024,3,-99,9,-99,33,38,39,34,36,-99,30,24,37,39,-99,38,-99,42,-99,-99,49,39,-99,-99,-99,-99,42,39,-99,-99,35,34,40,-99,44,41,44
1/1/2024,4,-99,9,-99,31,36,37,29,35,-99,26,18,32,37,-99,34,-99,39,-99,-99,45,41,-99,-99,-99,-99,41,41,-99,-99,31,29,40,-99,40,32,41
1/1/2024,5,-99,8,-99,27,35,35,26,23,-99,17,17,26,33,-99,31,-99,37,-99,-99,40,41,-99,-99,-99,-99,38,36,-99,-99,27,21,37,-99,39,31,39
1/1/2024,6,-99,7,-99,27,34,32,22,24,-99,13,14,21,26,-99,33,-99,36,-99,-99,42,39,-99,-99,-99,23,34,28,-99,-99,23,23,35,-99,37,31,38
1/1/2024,7,-99,7,-99,27,31,29,24,23,-99,14,12,25,25,-99,33,-99,37,-99,-99,47,36,-99,-99,-99,15,31,28,-99,-99,29,25,33,-99,35,28,32
1/1/2024,8,-99,6,-99,25,30,28,23,19,-99,16,10,22,21,-99,32,-99,36,-99,-99,49,37,-99,-99,-99,22,32,28,-99,-99,25,25,29,-99,35,26,30
1/1/2024,9,-99,18,-99,27,34,27,26,19,-99,11,9,23,-99,-99,47,-99,-99,-99,-99,49,38,-99,-99,-99,24,41,37,-99,-99,26,25,31,-99,34,29,39
1/1/2024,10,-99,23,-99,33,55,24,40,-99,-99,4,15,25,24,-99,56,-99,46,-99,-99,62,55,-99,-99,-99,31,48,36,-99,-99,23,34,24,-99,37,20,54
1/1/2024,11,-99,13,-99,24,47,24,27,20,-99,7,18,25,23,-99,45,-99,38,-99,-99,60,68,-99,-99,-99,28,37,26,-99,-99,-99,25,22,-99,30,12,47
1/1/2024,12,-99,11,-99,13,11,15,11,19,-99,9,8,11,11,-99,19,-99,18,-99,-99,26,25,-99,-99,-99,9,17,19,-99,-99,-99,22,10,-99,17,7,22
1/1/2024,13,-99,11,-99,13,7,16,11,16,-99,10,9,11,5,-99,15,-99,14,-99,-99,21,19,-99,-99,-99,10,13,11,-99,-99,8,21,14,-99,12,7,15
1/1/2024,14,-99,11,-99,12,9,16,10,12,-99,11,10,12,5,-99,14,-99,16,-99,-99,15,17,-99,-99,-99,9,12,10,-99,-99,11,25,12,-99,10,7,-99
1/1/2024,15,-99,10,-99,12,9,15,11,12,-99,11,10,16,5,-99,12,-99,13,-99,-99,15,14,-99,-99,-99,8,12,11,-99,-99,10,24,12,-99,11,7,-99
1/1/2024,16,-99,8,-99,12,7,12,9,9,-99,9,10,19,4,-99,13,-99,10,-99,-99,21,13,-99,-99,-99,7,13,13,-99,-99,7,18,12,-99,11,6,-99
1/1/2024,17,-99,11,-99,13,8,12,8,10,-99,11,12,17,5,-99,15,-99,14,-99,-99,18,14,-99,-99,-99,7,12,11,-99,-99,7,23,13,-99,11,7,-99
1/1/2024,18,-99,14,-99,13,8,14,11,10,-99,20,19,31,8,-99,15,-99,15,-99,-99,23,25,-99,-99,-99,10,9,16,-99,-99,8,26,20,-99,12,11,-99
1/1/2024,19,-99,12,-99,40,21,47,17,18,-99,47,57,78,12,-99,21,-99,26,-99,-99,23,53,-99,-99,-99,18,12,32,-99,-99,10,59,41,-99,15,36,-99
1/1/2024,20,-99,11,-99,24,29,43,23,23,-99,19,38,60,15,-99,22,-99,29,-99,-99,33,41,-99,-99,-99,18,15,31,-99,-99,26,52,36,-99,20,20,-99
1/1/2024,21,-99,16,-99,27,47,52,21,32,-99,20,36,42,16,-99,38,-99,43,-99,-99,47,33,-99,-99,-99,27,21,32,-99,-99,43,35,25,-99,32,14,-99
1/1/2024,22,-99,20,-99,16,38,41,28,35,-99,22,22,19,21,-99,34,-99,50,-99,-99,50,23,-99,-99,-99,36,17,37,-99,-99,35,27,18,-99,43,13,-99
1/1/2024,23,-99,17,-99,24,22,24,31,29,-99,22,27,15,30,-99,19,-99,31,-99,-99,29,21,-99,-99,-99,24,40,27,-99,-99,48,20,27,-99,39,18,-99
1/1/2024,24,-99,16,-99,35,19,38,25,34,-99,18,32,16,36,-99,19,-99,23,-99,-99,33,18,-99,-99,-99,22,44,21,-99,-99,35,24,22,-99,27,19,-99
2/1/2024,1,-99,14,-99,30,20,31,33,33,-99,26,17,26,30,-99,17,-99,28,-99,-99,44,27,-99,-99,-99,21,41,35,-99,-99,34,32,16,-99,34,13,-99
2/1/2024,2,-99,11,-99,20,27,27,36,26,-99,14,12,21,28,-99,19,-99,32,-99,-99,32,32,-99,-99,-99,16,37,36,-99,-99,19,34,12,-99,44,17,-99
2/1/2024,3,-99,8,-99,14,-99,27,21,28,-99,18,9,19,28,-99,21,-99,36,-99,-99,34,33,-99,-99,-99,12,33,34,-99,-99,22,23,11,-99,39,21,-99
2/1/2024,4,-99,8,-99,14,32,28,16,32,-99,14,7,15,31,-99,23,-99,44,-99,-99,39,45,-99,-99,-99,7,31,36,-99,-99,16,15,32,-99,32,33,-99
2/1/2024,5,-99,10,-99,17,34,38,14,30,-99,6,7,17,30,-99,33,-99,40,-99,-99,42,45,-99,-99,-99,6,31,33,-99,-99,14,20,27,-99,37,30,-99
2/1/2024,6,-99,9,-99,28,-99,38,14,29,-99,16,10,25,32,-99,36,-99,40,-99,-99,46,44,-99,-99,-99,8,38,35,-99,-99,21,31,32,-99,37,28,-99
2/1/2024,7,-99,14,-99,31,-99,42,29,29,-99,47,26,36,32,-99,34,-99,37,-99,-99,50,43,-99,-99,-99,19,41,34,-99,-99,22,38,41,-99,38,31,-99
2/1/2024,8,-99,17,-99,39,38,41,33,31,-99,46,31,35,32,-99,35,-99,42,-99,-99,53,49,-99,-99,-99,30,42,35,-99,-99,24,40,41,-99,39,29,-99
2/1/2024,9,-99,17,-99,42,42,43,33,27,-99,37,31,40,37,-99,43,-99,50,-99,-99,45,49,-99,-99,-99,40,47,38,-99,-99,21,44,45,-99,48,31,-99
2/1/2024,10,-99,27,-99,50,46,49,37,26,-99,20,35,60,47,-99,44,-99,45,-99,-99,58,50,-99,-99,-99,46,46,41,-99,-99,24,51,56,-99,50,32,-99
2/1/2024,11,-99,35,-99,64,36,57,36,9,-99,14,44,91,46,-99,43,-99,38,-99,-99,57,46,-99,-99,-99,50,55,43,-99,-99,19,44,68,-99,51,34,-99
2/1/2024,12,-99,31,-99,51,29,40,30,7,-99,18,61,69,32,-99,-99,-99,37,-99,-99,38,46,-99,-99,-99,34,44,28,-99,-99,18,37,58,-99,43,33,-99
2/1/2024,13,-99,26,-99,37,23,34,25,7,-99,14,57,47,25,-99,-99,-99,34,-99,-99,33,33,-99,-99,-99,31,33,19,-99,-99,14,33,31,-99,27,14,-99
2/1/2024,14,-99,23,-99,25,21,24,23,7,-99,12,59,35,15,-99,-99,-99,18,-99,-99,24,34,-99,-99,-99,25,11,21,-99,-99,11,30,20,-99,12,16,-99
2/1/2024,15,-99,21,-99,23,16,24,22,8,-99,4,45,25,10,-99,-99,-99,19,-99,-99,14,24,-99,-99,-99,19,8,19,-99,-99,10,32,46,-99,12,20,-99
2/1/2024,16,-99,18,-99,39,14,22,16,12,-99,6,34,31,9,-99,-99,-99,20,-99,-99,21,16,-99,-99,-99,10,10,23,-99,-99,8,35,49,-99,14,22,-99
2/1/2024,17,-99,13,-99,38,12,29,8,12,-99,6,37,25,11,-99,22,-99,23,-99,-99,25,14,-99,-99,-99,11,10,23,-99,-99,9,31,42,-99,16,24,-99
2/1/2024,18,-99,20,-99,18,16,30,9,14,-99,9,42,25,17,-99,21,-99,31,-99,-99,35,19,-99,-99,-99,12,11,29,-99,-99,12,33,39,-99,18,23,-99
2/1/2024,19,-99,30,-99,14,21,19,19,18,-99,9,18,26,26,-99,20,-99,44,-99,-99,42,22,-99,-99,-99,15,17,43,-99,-99,18,30,32,-99,34,38,-99
2/1/2024,20,-99,30,-99,-99,43,23,36,28,-99,8,19,30,27,-99,23,-99,55,-99,-99,51,27,-99,-99,-99,31,17,51,-99,-99,25,39,41,-99,34,45,-99
2/1/2024,21,-99,20,-99,45,39,28,38,32,-99,13,29,40,30,-99,43,-99,50,-99,-99,55,43,-99,-99,-99,39,19,39,-99,-99,39,40,38,-99,37,54,-99
2/1/2024,22,-99,15,-99,42,40,47,42,38,-99,18,40,35,36,-99,35,-99,36,-99,-99,55,53,-99,-99,-99,27,20,48,-99,-99,25,43,42,-99,35,52,-99
