FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
1/1/2024,1,7,17,18,-99,-99,-99,-99,24,-99,18,11,-99,29,-99,84,26,-99
1/1/2024,2,6,20,21,-99,-99,-99,-99,23,-99,-99,-99,-99,54,-99,33,31,-99
1/1/2024,3,7,23,22,-99,-99,-99,-99,27,-99,8,-99,-99,60,-99,24,32,-99
1/1/2024,4,7,19,25,-99,-99,-99,-99,27,-99,10,-99,-99,63,-99,17,43,-99
1/1/2024,5,7,26,21,-99,-99,-99,-99,21,-99,8,6,-99,99,-99,14,30,-99
1/1/2024,6,6,22,18,-99,-99,-99,-99,32,-99,10,8,-99,42,-99,15,21,-99
1/1/2024,7,6,22,13,-99,-99,-99,-99,27,-99,8,5,-99,35,-99,12,24,-99
1/1/2024,8,6,20,13,-99,-99,-99,-99,32,-99,15,6,-99,54,-99,13,30,-99
1/1/2024,9,8,19,12,-99,-99,-99,-99,33,-99,14,9,-99,68,-99,15,27,-99
1/1/2024,10,9,28,10,-99,-99,-99,-99,25,-99,13,11,-99,48,-99,27,26,-99
1/1/2024,11,5,31,15,-99,-99,-99,-99,19,-99,15,12,-99,39,-99,15,19,-99
1/1/2024,12,5,12,10,-99,-99,-99,-99,10,-99,9,8,-99,24,-99,16,14,-99
1/1/2024,13,6,10,11,-99,-99,-99,-99,9,-99,11,8,-99,14,-99,16,9,-99
1/1/2024,14,5,11,12,-99,-99,-99,-99,6,-99,11,9,-99,21,-99,14,7,-99
1/1/2024,15,7,9,10,-99,-99,-99,-99,13,-99,11,7,-99,24,-99,25,7,-99
1/1/2024,16,3,8,9,-99,-99,-99,-99,7,-99,14,4,-99,31,-99,15,8,-99
1/1/2024,17,5,8,6,-99,-99,-99,-99,5,-99,17,6,-99,34,-99,15,10,-99
1/1/2024,18,9,6,7,-99,-99,-99,-99,6,-99,8,9,-99,27,-99,18,19,-99
